,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,id,docket_id
137231,0.0015387826700021497,0.0015392217244940497,0.0015384750955711197,0.0015384908583217806,0.0015384615662240608,0.0015391116992118238,0.9861511208587874,0.00153851484294125,0.001538951533655536,0.0015388691507909084,0900006483fac284,FNS-2018-0037
51798,0.0009346685293894977,0.0009346662002930837,0.0009346002902465837,0.0009345817531299529,0.0009346641731472048,0.0009346242156683614,0.0009346154131052431,0.0009346716637820508,0.9915882606122849,0.0009346471489531294,09000064843e6a87,FNS-2019-0007
126379,0.0010205995295651327,0.0010206849673373875,0.0010204323009472159,0.00102042406098639,0.0010204113580085177,0.001020502954787632,0.0010204678663830514,0.0010204640007318065,0.0010206098079503156,0.9908154031533026,0900006484061139,FNS-2019-0001
69422,0.0009260371163019457,0.0009260005600030304,0.0009259463811401905,0.0009259281813675033,0.0009259259966390571,0.0009259698704822397,0.0009259584733655027,0.0009260163307869989,0.9916662222625975,0.0009259948273160494,090000648440116c,FNS-2019-0007
135329,0.0006946555707936676,0.05626540778710765,0.0006944634363702277,0.0006945184967774387,0.000694509019597169,0.022140240520532522,0.2504982495476921,0.0006945222708509586,0.0006946235062527758,0.6669288098440256,090000648407d979,FNS-2019-0001
9004,0.012500387630048996,0.012501915649020092,0.012500806629983279,0.012500407564035282,0.012500675926483788,0.012500528991485653,0.8874903084874373,0.012503261355912272,0.012501294507783174,0.012500413257810159,090000648410aad2,FNS-2018-0037
123813,0.0009009558814443664,0.0009009441476843635,0.0009009201058318082,0.0009009113079912765,0.0009009009431416875,0.0009009365425377943,0.0009009355776314504,0.9918915613169937,0.0009009895000544202,0.0009009446766891508,09000064849c391a,FNS-2020-0038
121132,0.0007520234172677055,0.9932326804681977,0.0007519014282102718,0.0007518990026462681,0.0007518875750878697,0.0007519171996771914,0.0007519085778058948,0.0007519060089795524,0.0007519383103926282,0.0007519380117350098,09000064847f706f,FNS-2020-0015
1079,0.007692443477656887,0.007692551417066706,0.007692410481279871,0.007693517123860305,0.007692307823054379,0.007693110858406433,0.9307661304072852,0.007692450002558437,0.007692307694389503,0.007692770714442349,09000064841b5dc5,FNS-2019-0009
128616,0.0010205951547215815,0.001020716333502747,0.001020432310171735,0.0010204240768044912,0.0010204125876163786,0.0010205029565648876,0.0010204596178726047,0.001020464003855657,0.0010206254249761288,0.9908153675339139,0900006484062775,FNS-2019-0001
