id,docket_id,topic,likeliness
0900006484132642,USDA-2019-0005,topic_9,0.7967571985786758
0900006484245bed,USDA-2019-0005,topic_9,0.9689628745281271
090000648423df79,USDA-2017-0002,topic_0,0.7536425185278812
09000064842f4f7b,USDA-2017-0002,topic_9,0.5201130296918902
090000648449c757,USDA-2020-0003,topic_2,0.7109661924490868
090000648447fadd,USDA-2020-0003,topic_9,0.9774991212883068
09000064844833a2,USDA-2020-0003,topic_9,0.9863623713820725
09000064843eafc3,USDA-2017-0002,topic_9,0.8714145536821691
090000648444a676,USDA-2017-0002,topic_3,0.6999997292747252
090000648444ae8b,USDA-2017-0002,topic_9,0.86874563162018
0900006484449dfa,USDA-2017-0002,topic_3,0.6999997292747252
09000064843f5860,USDA-2017-0002,topic_3,0.9795734476909271
090000648440b138,USDA-2017-0002,topic_9,0.9125055560551513
09000064844ba361,USDA-2020-0002,topic_9,0.998124843775356
090000648447d59f,USDA-2017-0002,topic_6,0.9412252557807307
0900006484484206,USDA-2020-0003,topic_9,0.49783158948447864
090000648448632b,USDA-2020-0003,topic_9,0.8519970596783677
0900006484486908,USDA-2020-0003,topic_9,0.9888873783345927
09000064844876b0,USDA-2020-0003,topic_9,0.9944778613008242
0900006484482db4,USDA-2020-0003,topic_9,0.9978150949846242
09000064844841a1,USDA-2020-0003,topic_9,0.9699906189552646
090000648448427c,USDA-2020-0003,topic_9,0.9795300633460031
090000648444e48c,USDA-2020-0002,topic_9,0.9951341896788317
09000064844a3027,USDA-2020-0003,topic_9,0.9979261387628365
09000064844a51a3,USDA-2020-0003,topic_9,0.992911739455941
09000064844c05a5,USDA-2020-0003,topic_9,0.9833295514122733
090000648454e10f,USDA-2020-0002,topic_9,0.899806443971995
09000064843172c3,USDA-2020-0009,topic_5,0.987670861207786
09000064843172e9,USDA-2020-0009,topic_5,0.987670861207786
09000064843172ec,USDA-2020-0009,topic_5,0.987670861207786
090000648431739b,USDA-2020-0009,topic_5,0.987670861207786
09000064843173c2,USDA-2020-0009,topic_5,0.987670861207786
0900006484317588,USDA-2020-0009,topic_5,0.987670861207786
0900006484317594,USDA-2020-0009,topic_5,0.987670861207786
0900006484317657,USDA-2020-0009,topic_5,0.987670861207786
090000648431794f,USDA-2020-0009,topic_5,0.987670861207786
0900006484317aa8,USDA-2020-0009,topic_5,0.987670861207786
09000064844434f5,USDA-2017-0002,topic_3,0.5408281913027445
09000064843eb3c8,USDA-2017-0002,topic_2,0.5499999954783701
090000648444acfb,USDA-2017-0002,topic_6,0.6726303768524723
09000064844d79a0,USDA-2017-0002,topic_0,0.9799539811070689
0900006484317ac8,USDA-2020-0009,topic_5,0.987670861207786
0900006484317bec,USDA-2020-0009,topic_5,0.987670861207786
0900006484317cc9,USDA-2020-0009,topic_5,0.987670861207786
0900006484318078,USDA-2020-0009,topic_5,0.987670861207786
09000064843180a2,USDA-2020-0009,topic_5,0.987670861207786
090000648431819b,USDA-2020-0009,topic_5,0.987670861207786
09000064843181b8,USDA-2020-0009,topic_5,0.987670861207786
09000064843181c4,USDA-2020-0009,topic_5,0.987670861207786
090000648435a011,USDA-2020-0009,topic_1,0.9926226583435848
090000648435a6b0,USDA-2020-0009,topic_1,0.9926226146488838
090000648435a71f,USDA-2020-0009,topic_1,0.9926226542746046
090000648435a720,USDA-2020-0009,topic_1,0.9926226603095578
090000648431991e,USDA-2020-0009,topic_5,0.987670861207786
09000064843199d6,USDA-2020-0009,topic_5,0.987670861207786
09000064843199de,USDA-2020-0009,topic_5,0.987670861207786
0900006484319a5f,USDA-2020-0009,topic_5,0.987670861207786
0900006484319a6f,USDA-2020-0009,topic_5,0.987670861207786
0900006484319b1c,USDA-2020-0009,topic_5,0.987670861207786
0900006484319b37,USDA-2020-0009,topic_5,0.987670861207786
0900006484319b48,USDA-2020-0009,topic_5,0.987670861207786
0900006484319ce1,USDA-2020-0009,topic_5,0.987670861207786
0900006484319ce5,USDA-2020-0009,topic_5,0.987670861207786
0900006484319d26,USDA-2020-0009,topic_5,0.987670861207786
0900006484319e1c,USDA-2020-0009,topic_5,0.987670861207786
0900006484319eaf,USDA-2020-0009,topic_5,0.987670861207786
0900006484319ebd,USDA-2020-0009,topic_5,0.987670861207786
0900006484319ece,USDA-2020-0009,topic_5,0.987670861207786
0900006484319ed3,USDA-2020-0009,topic_5,0.987670861207786
0900006484319ede,USDA-2020-0009,topic_5,0.987670861207786
0900006484319f7e,USDA-2020-0009,topic_5,0.987670861207786
090000648431a519,USDA-2020-0009,topic_5,0.987670861207786
090000648431a527,USDA-2020-0009,topic_5,0.987670861207786
090000648431a5b5,USDA-2020-0009,topic_5,0.987670861207786
090000648431a600,USDA-2020-0009,topic_5,0.987670861207786
0900006484731803,USDA-2020-0003,topic_9,0.99021621295514
090000648472fdd5,USDA-2020-0003,topic_9,0.9608582428098255
